Name,2023 Payroll
New York Mets,"343,605,067.00"
New York Yankees,"278,651,150.00"
San Diego Padres,"256,045,688.00"
Texas Rangers,"251,332,754.00"
Philadelphia Phillies,"245,419,295.00"
Los Angeles Dodgers,"240,278,296.00"
Houston Astros,"237,107,748.00"
Los Angeles Angels,"230,534,276.00"
Toronto Blue Jays,"214,630,885.00"
Atlanta Braves,"206,239,131.00"
Chicago Cubs,"189,629,358.00"
San Francisco Giants,"187,398,165.00"
Boston Red Sox,"182,926,796.00"
Colorado Rockies,"171,026,607.00"
Chicago White Sox,"162,863,836.00"
Minnesota Twins,"156,104,540.00"
St. Louis Cardinals,"153,793,028.00"
Seattle Mariners,"134,466,903.00"
Milwaukee Brewers,"125,338,345.00"
Detroit Tigers,"121,494,514.00"
Arizona Diamondbacks,"119,257,651.00"
Miami Marlins,"105,435,809.00"
Cincinnati Reds,"96,577,288.00"
Kansas City Royals,"96,083,853.00"
Washington Nationals,"93,378,663.00"
Cleveland Guardians,"91,861,627.00"
Tampa Bay Rays,"79,354,272.00"
Baltimore Orioles,"71,061,047.00"
Pittsburgh Pirates,"68,945,975.00"
Oakland Athletics,"62,243,227.00"
