Name,Value,City
New York Yankees,"7,100",New York City
Los Angeles Dodgers,"4,800",Los Angeles
Boston Red Sox,"4,500",Boston
Chicago Cubs,"4,100",Chicago
San Francisco Giants,"3,700",San Francisco
New York Mets,"2,900",New York City
Los Angeles Angels,"2,700",Los Angeles
Atlanta Braves,"2,600",Atlanta
Philadelphia Phillies,"2,575",Philadelphia
St. Louis Cardinals,"2,550",St. Louis 
Houston Astros,"2,250",Houston
Texas Rangers,"2,225",Arlington 
Seattle Mariners,"2,200",Seattle
Toronto Blue Jays,"2,100",Toronto
Chicago White Sox,"2,050",Chicago
Washington Nationals,"2,000",Washington D.C.
San Diego Padres,"1,750",San Diego
Baltimore Orioles,"1,713",Baltimore
Milwaukee Brewers,"1,605",Milwaukee
Colorado Rockies,"1,475",Denver
Detroit Tigers,"1,450",Detroit
Minnesota Twins,"1,390",Minneapolis 
Arizona Diamondbacks,"1,380",Phoenix
Pittsburgh Pirates,"1,320",Pittsburgh
Cleveland Guardians,"1,300",Cleveland
Tampa Bay Rays,"1,250",Tampa
Kansas City Royals,"1,200",Kansas City
Cincinnati Reds,"1,190",Cincinnati
Oakland Athletics,"1,180",Oakland
Miami Marlins,"1,000",Miami
