Name,2023 Payroll
Atlanta Hawks,"15,561.00"
Brooklyn Nets,"15,727.00"
Boston Celtics,"18,339.00"
Charlotte Hornets,"13,235.00"
Chicago Bulls,"16,359.00"
Cleveland Cavaliers,"16,454.00"
Dallas Mavericks,"15,948.00"
Denver Nuggets,"17,789.00"
Detroit Pistons,"13,480.00"
Golden State Warriors,"20,827.00"
Houston Rockets,"14,135.00"
Indiana Pacers,"11,759.00"
Los Angeles Clippers,"19,831.00"
Los Angeles Lakers,"16,656.00"
Memphis Grizzlies,"11,681.00"
Miami Heat,"18,005.00"
Milwaukee Bucks,"18,358.00"
Minnesota Timberwolves,"16,293.00"
New Orleans Pelicans,"16,823.00"
New York Knicks,"16,253.00"
Oklahoma City Thunder,"12,522.00"
Orlando Magic,"13,096.00"
Philadelphia 76ers,"16,736.00"
Phoenix Suns,"18,400.00"
Portland Trail Blazers,"15,736.00"
Sacramento Kings,"14,686.00"
San Antonio Spurs,"10,785.00"
Toronto Raptors,"16,210.00"
Utah Jazz,"13,598.00"
Washington Wizards,"13,588.00"
