Name,Value,City
New York Rangers,"2,200",New York City
Toronto Maple Leafs,"2,000",Tornto
Montreal Canadiens,"1,850",Montreal
Chicago Blackhawks,"1,500",Chicago
Boston Bruins,"1,400",Boston
Los Angeles Kings,"1,300",Los Angeles
Edmonton Oilers,"1,275",Edmonton
Philadelphia Flyers,"1,250",Philadelphia
Washington Capitals,"1,200",Washington D.C.
Seattle Kraken,"1,050",Seattle
Detroit Red Wings,"1,030",Detroit
New York Islanders,"1,020",New York City
Vancouver Canucks,"1,010",Vancouver
Tampa Bay Lightning,"1,000",Tampa Bay
Pittsburgh Penguins,990,Pittsburgh
Vegas Golden Knights,965,Las Vegas
New Jersey Devils,960,Newark
Dallas Stars,925,Dallas
St. Louis Blues,880,St. Louis
Colorado Avalanche,860,Denver
Calgary Flames,855,Calgary
Minnesota Wild,850,Minneapolis
Nashville Predators,810,Nashville
Ottawa Senators,800,Ottawa
San Jose Sharks,740,San Jose
Anaheim Ducks,725,Anaheim
Winnipeg Jets,650,Winnipeg
Carolina Hurricanes,640,Charlotte
Columbus Blue Jackets,620,Columbus
Buffalo Sabres,610,Buffalo
Florida Panthers,550,Miami
Arizona Coyotes,450,Phoenix
