Name,2023 Payroll
Atlanta Hawks,$155.61M
Brooklyn Nets,$157.27M
Boston Celtics,$183.39M
Charlotte Hornets,$132.35M
Chicago Bulls,$163.59M
Cleveland Cavaliers,$164.54M
Dallas Mavericks,$159.48M
Denver Nuggets,$177.89M
Detroit Pistons,$134.80M
Golden State Warriors,$208.27M
Houston Rockets,$141.35M
Indiana Pacers,$117.59M
LA Clippers,$198.31M
Los Angeles Lakers,$166.56M
Memphis Grizzlies,$116.81M
Miami Heat,$180.05M
Milwaukee Bucks,$183.58M
Minnesota Timberwolves,$162.93M
New Orleans Pelicans,$168.23M
New York Knicks,$162.53M
Oklahoma City Thunder,$125.22M
Orlando Magic,$130.96M
Philadelphia 76ers,$167.36M
Phoenix Suns,$184.00M
Portland Trail Blazers,$157.36M
Sacramento Kings,$146.86M
San Antonio Spurs,$107.85M
Toronto Raptors,$162.10M
Utah Jazz,$135.98M
Washington Wizards,$135.88M
