Name,Value ,City
Golden State Warriors,7.7,San Francisco
New York Knicks,6.6,New York City
Los Angeles Lakers,6.4,Los Angeles
Boston Celtics,4.7,Boston
Los Angeles Clippers,4.65,Los Angeles
Chicago Bulls,4.6,Chicago
Dallas Mavericks,4.5,Dallas
Houston Rockets,4.4,Houston
Philadelphia 76ers,4.3,Philadelphia
Toronto Raptors,4.1,Toronto
Phoenix Suns,4,Phoenix
Miami Heat,3.9,Miami
Brooklyn Nets,3.85,New York City
Washington Wizards,3.5,Washington DC
Denver Nuggets,3,Denver
Cleveland Cavaliers,3,Cleveland
Sacramento Kings,3,Sacramento
Atlanta Hawks,3.33,Atlanta
San Antonio Spurs,3,San Antonio
Milwaukee Bucks,3,Milwaukee
Utah Jazz,3,Salt Lake City
Portland Trail Blazers,3.08,Portland
Detroit Pistons,3,Detroit
Oklahoma City Thunder,3.05,Oklahoma City
Charlotte Hornets,3,Charolette
Orlando Magic,2.95,Orlando
Indiana Pacers,2.9,Indianapolis
New Orleans Pelicans,2.55,New Orleans
Minnesota Timberwolves,2.5,Minneapolis
Memphis Grizzlies,2.4,Memphis
