Name,2023 Payroll
Cleveland Browns,"303,708,121.00"
Buffalo Bills,"279,951,292.00"
Los Angeles Rams,"273,287,325.00"
Arizona Cardinals,"272,244,546.00"
New Orleans Saints,"269,668,454.00"
Green Bay Packers,"268,908,809.00"
Philadelphia Eagles,"268,857,181.00"
Miami Dolphins,"264,249,911.00"
Tampa Bay Buccaneers,"258,641,954.00"
San Francisco 49ers,"254,151,219.00"
Las Vegas Raiders,"254,089,540.00"
Denver Broncos,"253,516,874.00"
Los Angeles Chargers,"252,378,504.00"
New York Jets,"246,031,169.00"
Tennessee Titans,"244,583,387.00"
Indianapolis Colts,"242,296,668.00"
Jacksonville Jaguars,"237,253,319.00"
Pittsburgh Steelers,"235,918,001.00"
Minnesota Vikings,"235,430,863.00"
Washington Commanders,"225,443,194.00"
Kansas City Chiefs,"219,566,751.00"
Seattle Seahawks,"218,245,995.00"
Dallas Cowboys,"213,658,382.00"
Detroit Lions,"208,968,784.00"
Baltimore Ravens,"207,292,546.00"
Cincinnati Bengals,"201,252,570.00"
Carolina Panthers,"197,334,185.00"
New England Patriots,"193,360,479.00"
New York Giants,"176,735,170.00"
Houston Texans,"170,863,691.00"
Atlanta Falcons,"146,615,982.00"
Chicago Bears,"125,643,007.00"
