Name,Value,City
Dallas Cowboys,9,Dallas
New England Patriots,7,Boston
Los Angeles Rams,6.9,Los Angeles
New York Giants,6.8,New York City
Chicago Bears,6.3,Chicago
Las Vegas Raiders,6.2,Las Vegas
New York Jets,6.1,New York City
Washington Commanders,6.05,Washington DC
San Francisco 49ers,6,San Francisco
Philadelphia Eagles,5.8,Philadephia
Miami Dolphins,5.7,Miami
Houston Texans,5.5,Houston
Denver Broncos,5.1,Denver
Seattle Seahawks,5,Seattle
Atlanta Falcons,4.7,Atlanta
Minnesota Vikings,4.65,Minneapolis
Baltimore Ravens,4.63,Baltimore
Pittsburgh Steelers,4.63,Pittsburgh
Cleveland Browns,4.62,Cleveland
Green Bay Packers,4.6,Green Bay
Tennessee Titans,4.4,Nashville
Indianapolis Colts,4.35,Indianapolis
Kansas City Chiefs,4.3,Kansas City
Tampa Bay Buccaneers,4.2,Tampa Bay
Los Angeles Chargers,4.15,Los Angeles
Carolina Panthers,4.1,Charlotte
New Orleans Saints,4.08,New Orleans
Jacksonville Jaguars,4,Jacksonville
Arizona Cardinals,3.8,Phoenix
Buffalo Bills,3.7,Buffalo
Detroit Lions,3.6,Detroit
Cincinnati Bengals,3.5,Cincinnati
