Name,2023 Payroll
Colorado Avalanche,"122,110,000"
St Louis Blues,"119,250,000"
Vancouver Canucks,"118,786,667"
Vegas Golden Knights,"118,022,950"
Tampa Bay Lightning,"115,886,070"
Toronto Maple Leafs,"112,064,500"
Montreal Canadiens,"111,675,833"
Winnipeg Jets,"108,400,000"
New Jersey Devils,"107,877,500"
Washington Capitals,"107,682,500"
Columbus Blue Jackets,"107,544,166"
Seattle Kraken,"107,297,500"
New York Rangers,"106,578,556"
Boston Bruins,"106,228,334"
Florida Panthers,"105,381,667"
Dallas Stars,"104,627,500"
New York Islanders,"103,311,625"
Detroit Red Wings,"103,168,890"
Calgary Flames,"102,485,000"
Ottawa Senators,"102,210,833"
Minnesota Wild,"101,409,680"
Pittsburgh Penguins,"101,336,842"
Edmonton Oilers,"99,749,167"
Los Angeles Kings,"98,280,000"
Philadelphia Flyers,"98,160,191"
San Jose Sharks,"97,532,179"
Nashville Predators,"97,203,056"
Carolina Hurricanes,"96,005,000"
Buffalo Sabres,"95,174,325"
Anaheim Ducks,"94,202,500"
Arizona Coyotes,"88,898,332"
Chicago Blackhawks,"88,014,168"
