"","team","value","league","payroll","win_percentage","venue","longitude","latitude"
"1","Dallas Cowboys",9e+09,"NFL",213658382,0.706,"Cowboys Stadium",-97.09277778,32.74777778
"2","New England Patriots",7e+09,"NFL",193360479,0.471,"Gillette Stadium",-71.26434444,42.09094444
"3","Los Angeles Rams",6.9e+09,"NFL",273287325,0.294,"SoFi Stadium",-118.33963,33.953587
"4","New York Giants",6.8e+09,"NFL",176735170,0.559,"MetLife Stadium",-74.07444444,40.81361111
"5","Chicago Bears",6.3e+09,"NFL",125643007,0.176,"Soldier Field",-87.61666667,41.8625
"6","Las Vegas Raiders",6.2e+09,"NFL",254089540,0.353,"Allegiant Stadium",-115.183952,36.090794
"7","New York Jets",6.1e+09,"NFL",246031169,0.412,"MetLife Stadium",-74.07444444,40.81361111
"8","Washington Commanders",6.05e+09,"NFL",225443194,0.5,NA,NA,NA
"9","San Francisco 49ers",6e+09,"NFL",254151219,0.765,"Candlestick Park",-122.3861111,37.71361111
"10","Philadelphia Eagles",5.8e+09,"NFL",268857181,0.824,"Lincoln Financial Field",-75.1675,39.90083333
"11","Miami Dolphins",5.7e+09,"NFL",264249911,0.529,"Sun Life Stadium",-80.23888889,25.95805556
"12","Houston Texans",5.5e+09,"NFL",170863691,0.206,"Reliant Stadium",-95.41083333,29.68472222
"13","Denver Broncos",5.1e+09,"NFL",253516874,0.294,"Sports Authority Field at Mile High",-105.02,39.74388889
"14","Seattle Seahawks",5e+09,"NFL",218245995,0.529,"CenturyLink Field",-122.3316667,47.59527778
"15","Atlanta Falcons",4.7e+09,"NFL",146615982,0.412,"Georgia Dome",-84.40083333,33.7575
"16","Minnesota Vikings",4.65e+09,"NFL",235430863,0.765,"Hubert H. Humphrey Metrodome",-93.25805556,44.97388889
"17","Baltimore Ravens",4.63e+09,"NFL",207292546,0.588,"M&T Bank Stadium",-76.62277778,39.27805556
"18","Pittsburgh Steelers",4.63e+09,"NFL",235918001,0.529,"Heinz Field",-80.01583333,40.44666667
